month,group,symptom,prevalence
1,nausea_vomiting,nausea_vomiting,7780
1,nausea_vomiting,fatigue,4020
1,nausea_vomiting,headaches,1900
1,nausea_vomiting,sleep_problems,680
1,nausea_vomiting,depression,720
1,nausea,nausea,21480
1,nausea,fatigue,11470
1,nausea,headaches,5180
1,nausea,sleep_problems,1420
1,nausea,depression,1850
1,no_nausea_vomiting,no_nausea_vomiting,95030
1,no_nausea_vomiting,fatigue,19880
1,no_nausea_vomiting,headaches,20240
1,no_nausea_vomiting,sleep_problems,2060
1,no_nausea_vomiting,depression,5920
1,hospitalization,hospitalization,20
1,hospitalization,fatigue,<10
1,hospitalization,headaches,<10
1,hospitalization,sleep_problems,<10
1,hospitalization,depression,<10
2,nausea_vomiting,nausea_vomiting,25220
2,nausea_vomiting,fatigue,16320
2,nausea_vomiting,headaches,6460
2,nausea_vomiting,sleep_problems,2330
2,nausea_vomiting,depression,2100
2,nausea,nausea,55850
2,nausea,fatigue,37990
2,nausea,headaches,13700
2,nausea,sleep_problems,4630
2,nausea,depression,4350
2,no_nausea_vomiting,no_nausea_vomiting,77590
2,no_nausea_vomiting,fatigue,39430
2,no_nausea_vomiting,headaches,15680
2,no_nausea_vomiting,sleep_problems,4100
2,no_nausea_vomiting,depression,4540
2,hospitalization,hospitalization,420
2,hospitalization,fatigue,170
2,hospitalization,headaches,90
2,hospitalization,sleep_problems,50
2,hospitalization,depression,50
3,nausea_vomiting,nausea_vomiting,27300
3,nausea_vomiting,fatigue,17580
3,nausea_vomiting,headaches,6930
3,nausea_vomiting,sleep_problems,3410
3,nausea_vomiting,depression,2230
3,nausea,nausea,51060
3,nausea,fatigue,34890
3,nausea,headaches,12710
3,nausea,sleep_problems,6020
3,nausea,depression,4040
3,no_nausea_vomiting,no_nausea_vomiting,75510
3,no_nausea_vomiting,fatigue,36770
3,no_nausea_vomiting,headaches,15210
3,no_nausea_vomiting,sleep_problems,5360
3,no_nausea_vomiting,depression,4410
3,hospitalization,hospitalization,580
3,hospitalization,fatigue,230
3,hospitalization,headaches,90
3,hospitalization,sleep_problems,80
3,hospitalization,depression,60
