month,group,group_prevalence,fatigue,headaches,sleep,depression
1,nausea,21480,11470,5180,1420,1850
2,nausea,55850,37990,13700,13700,4350
3,nausea,51060,34890,12710,6020,4040
4,nausea,26720,13390,3830,5330,790
5,nausea,12070,4630,1990,nan,450
6,nausea,6510,2180,1120,nan,310
7,nausea,6120,2320,1220,nan,340
8,nausea,5610,2260,1030,nan,280
1,nausea_vomiting,7780,4020,1900,680,720
2,nausea_vomiting,25220,16320,6460,2330,2100
3,nausea_vomiting,27300,17580,6930,3410,2230
4,nausea_vomiting,9250,4390,1380,2700,830
5,nausea_vomiting,5300,1920,890,nan,470
6,nausea_vomiting,2700,850,470,nan,140
7,nausea_vomiting,1840,680,340,nan,120
8,nausea_vomiting,1440,540,250,nan,80
1,hospitalization,20,<10,<10,<10,<10
2,hospitalization,420,170,90,50,50
3,hospitalization,580,230,90,80,60
4,hospitalization,300,80,40,60,30
5,hospitalization,90,20,20,nan,<10
6,hospitalization,50,20,<10,nan,<10
7,hospitalization,50,20,<10,nan,<10
8,hospitalization,30,<10,<10,nan,<10
